5022, 75271, 1, 0
10028, 78861, 1, 0
15040, 78343, 1, 0
20043, 79582, 1, 0
25047, 73396, 1, 0
30050, 75624, 1, 0
35053, 77142, 1, 0
40060, 77500, 1, 0
45067, 76879, 1, 0
50073, 79229, 1, 0
55080, 76444, 1, 0
60083, 76083, 1, 0
65086, 76448, 1, 0
70090, 78325, 1, 0
75105, 77774, 1, 0
80107, 78600, 1, 0
85113, 77243, 1, 0
90115, 76435, 1, 0
95121, 78561, 1, 0
100127, 77497, 1, 0
105136, 76362, 1, 0
110140, 78416, 1, 0
115145, 78395, 1, 0
120151, 76530, 1, 0
125156, 76182, 1, 0
130162, 78021, 1, 0
135167, 77852, 1, 0
140176, 81234, 1, 0
145181, 79893, 1, 0
150184, 78823, 1, 0
155191, 79446, 1, 0
160195, 81061, 1, 0
165200, 76103, 1, 0
170206, 78517, 1, 0
175212, 76827, 1, 0
180232, 77906, 1, 0
185236, 77548, 1, 0
190243, 77826, 1, 0
195254, 76986, 1, 0
200270, 77546, 1, 0
205277, 77278, 1, 0
210285, 75807, 1, 0
215289, 77882, 1, 0
220298, 76906, 1, 0
225304, 76875, 1, 0
230308, 78139, 1, 0
235314, 75985, 1, 0
240320, 74249, 1, 0
245322, 77816, 1, 0
250328, 78420, 1, 0
255333, 77047, 1, 0
260339, 78643, 1, 0
265343, 78258, 1, 0
270351, 76811, 1, 0
275358, 72381, 1, 0
280363, 77667, 1, 0
285663, 73615, 1, 0
290674, 76054, 1, 0
295680, 77798, 1, 0
301003, 67724, 1, 0
306009, 71828, 1, 0
311101, 76942, 1, 0
316106, 77306, 1, 0
321116, 77092, 1, 0
326122, 77373, 1, 0
331126, 76136, 1, 0
336134, 77315, 1, 0
341140, 77617, 1, 0
346145, 76024, 1, 0
351149, 77714, 1, 0
356152, 78078, 1, 0
361157, 77406, 1, 0
366162, 74557, 1, 0
371166, 77282, 1, 0
376169, 78574, 1, 0
381176, 77655, 1, 0
386179, 77480, 1, 0
391185, 76736, 1, 0
396189, 78283, 1, 0
401203, 77453, 1, 0
406210, 77694, 1, 0
411216, 78998, 1, 0
416220, 77562, 1, 0
421228, 77725, 1, 0
426232, 76814, 1, 0
431235, 78218, 1, 0
436239, 78003, 1, 0
441243, 79088, 1, 0
446248, 78831, 1, 0
451252, 76112, 1, 0
456258, 78998, 1, 0
461262, 78016, 1, 0
466267, 77502, 1, 0
471273, 79721, 1, 0
476275, 77520, 1, 0
481280, 77660, 1, 0
486285, 79656, 1, 0
491293, 77353, 1, 0
496303, 75934, 1, 0
501308, 77275, 1, 0
506312, 79162, 1, 0
511314, 76653, 1, 0
516319, 78138, 1, 0
521324, 79148, 1, 0
526331, 77885, 1, 0
531338, 77845, 1, 0
536342, 76472, 1, 0
541346, 76584, 1, 0
546352, 77378, 1, 0
551356, 77718, 1, 0
556360, 77417, 1, 0
